,Link,Ranks
0,1491,45.665405013923774
1,1450,45.634119841403496
2,306,12.450703532553145
3,375,9.879186326097159
4,81,8.323568055361331
5,5,8.075516305069973
6,1,8.075516305069973
7,4,8.066931550365377
8,122,7.281018253847204
9,8,7.277491282892847
10,123,6.508282218153357
11,110,6.372762981828821
12,72,6.367064385805826
13,118,6.3598504973976775
14,25154,6.282953043349558
15,84,6.118879488961173
16,64,6.107530402632571
17,128,6.107530402632571
18,76,6.088631173912978
19,77,6.088631173912978
20,24982,6.063372492194133
21,2,5.958462177573999
22,56,5.954112246730292
23,119,5.954112246730292
24,79,5.954112246730292
25,88,5.954112246730292
26,89,5.954112246730292
27,106,5.954112246730292
28,126,5.954112246730292
29,80,5.954112246730292
30,85,5.954112246730292
31,87,5.954112246730292
32,102,5.954112246730292
33,30,5.954112246730292
34,105,5.954112246730292
35,111,5.954112246730292
36,108,5.954112246730292
37,9,5.954112246730292
38,92,5.954112246730292
39,104,5.954112246730292
40,112,5.954112246730292
41,63,5.954112246730292
42,86,5.954112246730292
43,99,5.954112246730292
44,115,5.954112246730292
45,65,5.954112246730292
46,83,5.954112246730292
47,109,5.954112246730292
48,127,5.954112246730292
49,14,5.954112246730292
50,62,5.954112246730292
51,116,5.954112246730292
52,26435,5.233265672811366
53,3,4.120933336284487
54,25065,4.0998953221177485
55,25076,4.0998953221177485
56,25052,4.099895322117748
57,25053,4.099895322117748
58,25085,4.099895322117748
59,25066,4.099895322117748
60,25185,4.091936591603547
61,24901,3.9066721912667766
62,24902,3.9066721912667766
63,24903,3.9066721912667766
64,24904,3.9066721912667766
65,24900,3.906672191266776
66,24905,3.9066721912667752
67,125,3.7025372500618823
68,130,3.7025372500618823
69,131,3.549119094159602
70,96,3.4236392105380142
71,43,3.419540718170567
72,1385,3.3875772625293417
73,1387,3.384408206632846
74,117,3.301785434541096
75,1391,3.225505133571775
76,1383,3.1975490531890536
77,1395,3.1887875581920087
78,95,3.1767184148861056
79,1397,3.1736528172818557
80,24,3.1483672786388164
81,25,3.1483672786388164
82,28,3.1483672786388164
83,33,3.1483672786388164
84,61,3.1483672786388164
85,70,3.1483672786388164
86,71,3.1483672786388164
87,74,3.1483672786388164
88,75,3.1483672786388164
89,103,3.1483672786388164
90,0,3.1483672786388164
91,19,3.1483672786388164
92,21,3.1483672786388164
93,31,3.1483672786388164
94,49,3.1483672786388164
95,50,3.1483672786388164
96,90,3.1483672786388164
97,129,3.1483672786388164
98,13,3.1483672786388164
99,23,3.1483672786388164
100,26,3.1483672786388164
101,69,3.1483672786388164
102,121,3.1483672786388164
103,46,3.1483672786388164
104,58,3.1483672786388164
105,68,3.1483672786388164
106,100,3.1483672786388164
107,124,3.1483672786388164
108,10,3.1483672786388164
109,18,3.1483672786388164
110,20,3.1483672786388164
111,35,3.1483672786388164
112,40,3.1483672786388164
113,44,3.1483672786388164
114,52,3.1483672786388164
115,82,3.1483672786388164
116,93,3.1483672786388164
117,11,3.1483672786388164
118,16,3.1483672786388164
119,32,3.1483672786388164
120,34,3.1483672786388164
121,38,3.1483672786388164
122,51,3.1483672786388164
123,55,3.1483672786388164
124,91,3.1483672786388164
125,39,3.1483672786388164
126,48,3.1483672786388164
127,54,3.1483672786388164
128,57,3.1483672786388164
129,59,3.1483672786388164
130,66,3.1483672786388164
131,67,3.1483672786388164
132,42,3.1483672786388164
133,45,3.1483672786388164
