,Link,Ranks
0,1491,6.321732179673188
1,1450,6.16551116225586
2,24982,1.9301342719114862
3,25066,1.8879764514843695
4,306,1.6265435347156567
5,25154,1.5428478270077794
6,25076,1.5037456138259893
7,24902,1.4893237279491893
8,25053,1.445407169446866
9,25065,1.4441536683559664
10,375,1.4219359236102138
11,24901,1.2571618156044984
12,24904,1.252700298901421
13,24903,1.251035311219794
14,25073,1.1088915510955646
15,25085,1.1023914530780177
16,25052,1.1023914530780174
17,27060,1.0565985024129716
18,26243,1.0565985024129716
19,24265,1.053824144004625
20,1407,1.053142053993891
21,24273,1.048876222825388
22,24379,1.048876222825388
23,24208,1.048876222825388
24,5229,1.041740286764159
25,5738,1.0417402867641585
26,1869,1.0396211390534416
27,2111,1.0379221958316647
28,1845,1.0345849288630478
29,5918,1.0313051835721312
30,5774,1.028411192975194
31,5183,1.0284111929751938
32,2506,1.0254634287501776
33,2060,1.0247430476221386
34,2502,1.024543433331665
35,5443,1.0239379342751838
36,5535,1.0226878583054095
37,27575,1.0202144003190325
38,5605,1.0189606415202217
39,1857,1.017850285864799
40,5471,1.016706953924653
41,1738,1.0165649260584249
42,5689,1.0158668620606146
43,5567,1.0157043377423391
44,5477,1.0154777149525434
45,2093,1.0149913648422102
46,27429,1.0148215330682593
47,5934,1.013295262615198
48,4736,1.0132734894548798
49,5547,1.012250995766619
50,14647,1.0064693606427828
51,8295,1.0064691389799665
52,20496,1.0064691374730947
53,829,1.0064450381957493
54,23907,1.00644499045152
55,23927,1.0064447587451562
56,21716,1.0064429849001184
57,23340,1.0064428152002325
58,7804,1.0064428114476214
59,22209,1.006442810287606
60,21475,1.006442808482911
61,18593,1.0064428077837557
62,11164,1.0064428054784473
63,8481,1.006442804727153
64,1146,1.0064427578146622
65,22589,1.006442737591024
66,11232,1.006442666382933
67,21226,1.0064426663770885
68,19638,1.0064426663598594
69,15716,1.006432084752175
70,14372,1.0038783676117575
71,6117,1.0018770473523875
72,23564,1.001830164354597
73,23552,1.001830164354597
74,23883,1.0018036590260693
75,23871,1.0018036590260693
76,14520,1.0015315354348948
77,14516,1.0015315354348948
78,14315,1.0015312535631913
79,22910,1.0015311910888673
80,23384,1.0015311201568675
81,14749,1.0015290327854023
82,6407,1.001528691749193
83,11615,1.0015286698813726
84,11639,1.0015286698813726
85,22031,1.0015285280050323
86,17561,1.0015285277825658
87,8648,1.001528526987948
88,8282,1.001528526987948
89,17827,1.001528525538415
90,17252,1.0015285255080524
91,11094,1.0015285254807982
92,973,1.0015053190527854
93,14419,1.0015049410630372
94,6174,1.0015048678644933
95,6149,1.0015048678644933
96,23156,1.0015047442511604
97,23136,1.0015047442511604
98,23176,1.0015047442511604
99,23228,1.0015047442511604
100,23750,1.0015047338774499
101,23592,1.0015047186136716
102,23714,1.0015046607406104
103,777,1.001504608359379
104,877,1.0015045172815549
105,2275,1.0015044588754936
106,2284,1.0015044588754936
107,24115,1.001504393549761
108,24091,1.001504393549761
109,24111,1.001504393549761
110,23903,1.0015043784595015
111,753,1.0015043351259063
112,765,1.0015043351259063
113,24019,1.0015043220435098
114,24003,1.0015043220435098
115,23911,1.0015041467531376
116,23931,1.0015041467531376
117,20078,1.0015026594703638
118,15257,1.0015025522075618
119,1218,1.0015025064603145
120,1214,1.0015025064603145
121,14884,1.001502490442448
122,14880,1.001502490442448
123,653,1.0015024010695632
124,617,1.0015024010695632
125,15357,1.001502380668585
126,9083,1.0015023467426252
127,9141,1.0015023467426252
128,11685,1.001502340069681
129,11697,1.0015023400434355
130,13810,1.0015023397616682
131,11535,1.0015023386536404
132,18737,1.0015023371467147
133,9983,1.0015023371384038
134,9969,1.0015023371384038
135,9944,1.0015023371384038
136,7973,1.0015023371123106
137,9996,1.0015023371123106
138,10161,1.0015023356855597
139,10139,1.0015023356855597
140,713,1.001502309991739
141,15079,1.0015022041444257
142,9137,1.0015022039197439
143,21818,1.0015022012188832
144,22428,1.0015021999880356
145,11517,1.0015021995192641
146,9874,1.0015021987554054
147,18955,1.0015021987225428
148,22186,1.0015021982955876
149,13932,1.0015021980437413
150,21429,1.0015021975963565
151,6528,1.001502197307176
152,7695,1.0015021972756073
153,10313,1.0015021972006093
154,19420,1.0015021965351785
155,19514,1.0015021965238455
156,21483,1.0015021964908926
157,18498,1.0015021964445816
158,11013,1.0015021964059463
159,17759,1.0015021957578296
160,8218,1.0015021957255617
161,18198,1.0015021957154444
162,18202,1.0015021957154444
163,20340,1.001502195692205
164,7114,1.001502195692114
165,20851,1.0015021950573044
166,18288,1.0015021949825946
167,17296,1.0015021949787117
168,7090,1.0015021949745169
169,19952,1.001502194974496
170,20157,1.0015021949592426
171,19671,1.0015021942459947
172,10996,1.0015021942226403
173,17033,1.0015021935279371
174,10610,1.001502193521436
175,10614,1.001502193521436
176,10633,1.001502193521436
177,17869,1.0015021935058976
178,20402,1.0015021934978654
179,8438,1.001502193497382
180,10810,1.0015021927466834
181,10778,1.0015021927466834
182,10823,1.0015021927466834
183,10927,1.0015021927466834
184,10923,1.0015021927466834
185,8299,1.0015021927351342
186,1158,1.0015021458226436
187,22363,1.001502127463446
188,22247,1.001502127463446
189,23468,1.0015021185597095
190,23456,1.0015021185597095
191,22846,1.0015021018865204
192,13918,1.001502058909153
193,18541,1.0015020573746212
194,9817,1.0015020553348737
195,9794,1.0015020553348737
196,11228,1.0015020543909143
197,19575,1.0015020543787856
198,19571,1.0015020543787856
199,10683,1.0015020543753526
200,17192,1.001502054367827
201,18353,1.001502054363533
202,16829,1.0015020536322634
203,18304,1.0015020536198291
204,21006,1.0015020535969934
205,20978,1.0015020535969934
206,10592,1.0015020528987248
207,18120,1.0015020528834122
208,18108,1.0015020521543359
209,17965,1.0015020521466333
210,9849,1.0015020521019673
211,8708,1.0015020513774096
212,22656,1.0015020142413342
213,22668,1.0015019812203412
214,22141,1.0015019097375384
215,15701,1.0014914727601567
216,15477,1.0014914727601567
217,25185,1.00024496833368
218,25083,0.9367176796838612
219,24905,0.871593807189759
220,24900,0.871593807189759
221,81,0.8474620511715852
222,122,0.8366066278821427
223,8,0.8330796569277856
224,1,0.8247819055931
225,5,0.8247819055931
226,4,0.82464342994942
227,24456,0.8188507476543192
228,24461,0.8188507476543192
229,25087,0.810924046946362
230,26465,0.7975024780025634
231,26467,0.7975024780025634
232,26464,0.7975024780025634
233,26466,0.7975024780025634
234,26468,0.7975024780025634
235,86,0.7484856047249403
236,25061,0.7455259968203619
237,25075,0.7452404319731579
238,25859,0.729084952485707
239,24453,0.6688507476543192
240,24457,0.6688507476543192
241,24459,0.6688507476543192
242,24463,0.6688507476543192
243,24464,0.6688507476543192
244,24454,0.6688507476543192
245,24455,0.6688507476543192
246,24458,0.6688507476543192
247,24460,0.6688507476543192
248,24462,0.6688507476543192
249,15585,0.6527923507188612
250,110,0.6432920702545354
251,24899,0.6415319175265494
252,123,0.6380472817620518
253,72,0.6367556261842637
254,84,0.608066865328682
255,118,0.6045524474339772
256,77,0.6009117382795918
257,76,0.6009117382795918
258,25056,0.600278272631901
259,25118,0.600278272631901
260,64,0.5995541298894016
261,128,0.5995541298894016
262,2,0.5985855355686472
263,9,0.5984856047249403
264,14,0.5984856047249403
265,56,0.5984856047249403
266,63,0.5984856047249403
267,83,0.5984856047249403
268,88,0.5984856047249403
269,102,0.5984856047249403
270,106,0.5984856047249403
271,108,0.5984856047249403
272,111,0.5984856047249403
273,112,0.5984856047249403
274,115,0.5984856047249403
275,116,0.5984856047249403
276,119,0.5984856047249403
277,30,0.5984856047249403
278,62,0.5984856047249403
279,65,0.5984856047249403
280,79,0.5984856047249403
281,80,0.5984856047249403
282,85,0.5984856047249403
283,87,0.5984856047249403
284,89,0.5984856047249403
285,92,0.5984856047249403
286,99,0.5984856047249403
287,104,0.5984856047249403
288,105,0.5984856047249403
289,109,0.5984856047249403
290,126,0.5984856047249403
291,127,0.5984856047249403
292,25858,0.578270125777149
293,1389,0.5632356773496059
294,25860,0.5494867124412978
295,26435,0.5397505663008526
296,25848,0.49133498844148077
297,25880,0.4693686692943069
298,25878,0.4628862837003621
299,1385,0.46260940597774614
300,1391,0.4594456614080031
301,15809,0.4500763987123223
302,15842,0.4500763987123223
303,15869,0.4500763987123223
304,15810,0.4500763987123223
305,15825,0.4500763987123223
306,15831,0.4500763987123223
